form,doc,before,keyword,after,anchor
haag,let009,niet zoo druk als in den,Haag,daar ik maar van s’morgens tot,let009:0.2.0.0.13
haag,let010,huis gevoel Toch vergeet ik den,Haag,niet zou zeer zeer gaarne nog,let010:0.2.0.0.13
haag,let013,afscheid te nemen Maar in den,Haag,zal het je ook goed gaan,let013:0.2.0.0.29
haag,let014,weet reeds dat Theo naar den,Haag,komt ik vind dat eene goede,let014:0.2.0.0.11
haag,let015,Burger over de museums van den,Haag,Amster dam als je het uit,let015:0.2.0.0.15
haag,let015,zoo opwekkend als die in den,Haag,t is misschien goed dat ik,let015:0.2.0.0.19
haag,let017,Toch vergeet ik Holland vooral den,Haag,Braband niet In de zaak hebben,let017:0.2.0.0.28
haag,let022,een dag of wat naar den,Haag,want den Haag is als een,let022:0.2.0.0.23
haag,let022,wat naar den Haag want den,Haag,is als een tweede t’huis voor,let022:0.2.0.0.23
haag,let026,is er een kist naar den,Haag,gegaan waarin ik eene phot naar,let026:0.2.0.0.7
september,let001,Den Haag,september,Waarde Theo Dank voor je brief,let001:0.2.0.0.2.0
september,let001,Steeds je liefh Vincent The Hague,September,My dear Theo Thanks for your,let001:0.2.0.1.1
waarde,let001,Den Haag september,Waarde,Theo Dank voor je brief het,let001:0.2.0.0.5.0
waarde,let002,den Haag December,Waarde,Theo Dat was een goed nieuws,let002:0.2.0.0.5
waarde,let003,Den Haag Januari,Waarde,Theo Van huis hoorde ik dat,let003:0.2.0.0.5
waarde,let004,den Haag Jan,Waarde,Theo Goed dat je mij zoo,let004:0.2.0.0.5
waarde,let005,den Haag Maart,Waarde,Theo Het wordt tijd dat je,let005:0.2.0.0.5
waarde,let006,Goupil Cie Successeurs den Haag Maart,Waarde,Theo Zou je eens willen nazien,let006:0.2.0.0.17
waarde,let007,C ie Successeurs den Haag Mei,Waarde,Theo Je moet mij niet kwalijk,let007:0.2.0.0.17
waarde,let008,den Haag Mei,Waarde,Theo Maandag morgen vertrek ik van,let008:0.2.0.0.5
waarde,let009,Londen Juni,Waarde,Theo Je zult wel verlangen om,let009:0.2.0.0.5
waarde,let010,Londen Juli,Waarde,vrienden reeds eer der heb ik,let010:0.2.0.0.5
waarde,let011,Londen Juli,Waarde,Theo Dank voor je brief die,let011:0.2.0.0.5
waarde,let012,Londen Augustus,Waarde,vrienden het was eene zeer aangename,let012:0.2.0.0.5
waarde,let013,Londen Sept,Waarde,Theo Aan oom Hein schrijvende sluit,let013:0.2.0.0.5
waarde,let015,Londen Nov,Waarde,Theo Ik wil zorgen dat je,let015:0.2.0.0.5
waarde,let017,Londen Januari,Waarde,Theo Dank voor je schrijven Van,let017:0.2.0.0.5
waarde,let019,Londen Februari,Waarde,Theo Dank voor je brief t,let019:0.2.0.0.5
waarde,let021,Londen Maart,Waarde,Theo In een brief van Pa,let021:0.2.0.0.5
waarde,let022,Londen April,Waarde,Theo Van harte gelukgewenscht met je,let022:0.2.0.0.5
waarde,let023,Londen Juni,Waarde,Theo Dank voor je brief Ik,let023:0.2.0.0.5
waarde,let025,Helvoirt Juli,Waarde,Theo Dank voor de informaties die,let025:0.2.0.0.5
waarde,let026,Londen Juli,Waarde,Theo Gisteren is er een kist,let026:0.2.0.0.5
waarde,let027,Londen Juli,Waarde,Theo k Ben blij je in,let027:0.2.0.0.5
waarde,let028,Londen Aug,Waarde,Theo Gij oordeelt naar het vleesch,let028:0.2.0.0.5
waarde,let029,,Waarde,Theo Je boekje heb ik volgeschreven,let029:0.2.0.0.2
theo,let001,Den Haag september Waarde,Theo,Dank voor je brief het deed,let001:0.2.0.0.5
theo,let001,Vincent The Hague September My dear,Theo,Thanks for your letter I was,let001:0.2.0.1.3
theo,let002,den Haag December Waarde,Theo,Dat was een goed nieuws dat,let002:0.2.0.0.5
theo,let002,Roos The Hague December My dear,Theo,That was good news that I,let002:0.2.0.1.3
theo,let003,Den Haag Januari Waarde,Theo,Van huis hoorde ik dat gij,let003:0.2.0.0.5
theo,let003,Plaats The Hague January My dear,Theo,I heard from home that you,let003:0.2.0.1.3
theo,let004,den Haag Jan Waarde,Theo,Goed dat je mij zoo spoedig,let004:0.2.0.0.5
theo,let004,hij nog beter zal worden maar,Theo,ik vrees er voor Van de,let004:0.2.0.0.9
theo,let004,goed The Hague Jan My dear,Theo,It’s good that you answered me,let004:0.2.0.1.3
theo,let004,sincerely hope he’ll get better but,Theo,I fear he won’t Last summer,let004:0.2.0.1.5
theo,let005,den Haag Maart Waarde,Theo,Het wordt tijd dat je weer,let005:0.2.0.0.5
theo,let005,op den zelfden dag kwamen Adieu,Theo,ik moet je toch nog eens,let005:0.2.0.0.48
theo,let005,overkomt The Hague March My dear,Theo,It’s time you heard from me,let005:0.2.0.1.3
theo,let005,arrive on the same day Adieu,Theo,I must again recommend that you,let005:0.2.0.1.26
theo,let006,Cie Successeurs den Haag Maart Waarde,Theo,Zou je eens willen nazien of,let006:0.2.0.0.17
theo,let006,Hague The Hague March My dear,Theo,Would you mind checking whether a,let006:0.2.0.1.5
theo,let007,ie Successeurs den Haag Mei Waarde,Theo,Je moet mij niet kwalijk nemen,let007:0.2.0.0.17
theo,let007,Hague The Hague May My dear,Theo,You mustn’t take it amiss old,let007:0.2.0.1.5
theo,let008,den Haag Mei Waarde,Theo,Maandag morgen vertrek ik van Helvoirt,let008:0.2.0.0.5
theo,let008,denk er dan later eens om,Theo,je kunt niet begrij pen hoe,let008:0.2.0.0.13
theo,let008,wezen The Hague May My dear,Theo,On Monday morning I’ll leave Helvoirt,let008:0.2.0.1.3
theo,let008,think of it some other time,Theo,you have no idea how kind,let008:0.2.0.1.7
theo,let009,Londen Juni Waarde,Theo,Je zult wel verlangen om wat,let009:0.2.0.0.5
theo,let009,Strand London London June My dear,Theo,You’re probably longing to hear from,let009:0.2.0.1.3
theo,let011,Londen Juli Waarde,Theo,Dank voor je brief die mij,let011:0.2.0.0.5
theo,let011,De Bestedeling London July My dear,Theo,Thanks for your letter which gave,let011:0.2.0.1.3
theo,let013,Londen Sept Waarde,Theo,Aan oom Hein schrijvende sluit ik,let013:0.2.0.0.5
theo,let013,weer V London Sept My dear,Theo,Writing to Uncle Hein I’m enclosing,let013:0.2.0.1.3
theo,let014,gesproken hebben Gij weet reeds dat,Theo,naar den Haag komt ik vind,let014:0.2.0.0.11
theo,let014,you know You already know that,Theo,is coming to The Hague I,let014:0.2.0.1.6
theo,let015,Londen Nov Waarde,Theo,Ik wil zorgen dat je spoedig,let015:0.2.0.0.5
theo,let015,verl zomer London Nov My dear,Theo,I want to make sure that,let015:0.2.0.1.3
theo,let016,om wat te hooren Hebt ge,Theo,al gezien ik hoorde hij l.l,let016:0.2.0.0.11
theo,let016,hear something again Have you seen,Theo,yet I heard that he arrived,let016:0.2.0.1.6
theo,let017,Londen Januari Waarde,Theo,Dank voor je schrijven Van harte,let017:0.2.0.0.5
theo,let017,Mr Roos London January My dear,Theo,Thanks for writing I sincerely wish,let017:0.2.0.1.3
theo,let019,Londen Februari Waarde,Theo,Dank voor je brief t Boek,let019:0.2.0.0.5
theo,let019,goed Vincent London February My dear,Theo,Thanks for your letter I don’t,let019:0.2.0.1.3
theo,let021,Londen Maart Waarde,Theo,In een brief van Pa en,let021:0.2.0.0.5
theo,let021,ders gehoord London March My dear,Theo,In a letter from Pa and,let021:0.2.0.1.3
theo,let022,Londen April Waarde,Theo,Van harte gelukgewenscht met je verjaardag,let022:0.2.0.0.5
theo,let022,eens spoedig London April My dear,Theo,Many happy returns of the day,let022:0.2.0.1.3
theo,let023,Londen Juni Waarde,Theo,Dank voor je brief Ik denk,let023:0.2.0.0.5
theo,let023,ontmoet heb London June My dear,Theo,Thanks for your letter I think,let023:0.2.0.1.3
theo,let024,je willen volteekenen maar vandaag gaat,Theo,weg ik heb er dus geen,let024:0.2.0.0.4
theo,let024,book with drawings for you but,Theo,is leaving today so I don’t,let024:0.2.0.1.2
theo,let025,Helvoirt Juli Waarde,Theo,Dank voor de informaties die je,let025:0.2.0.0.5
theo,let025,goed Vincent Helvoirt July My dear,Theo,Thanks for the information you got,let025:0.2.0.1.3
theo,let026,Londen Juli Waarde,Theo,Gisteren is er een kist naar,let026:0.2.0.0.5
theo,let026,groet je London July My dear,Theo,Yesterday a crate was sent to,let026:0.2.0.1.3
theo,let027,Londen Juli Waarde,Theo,k Ben blij je in Michelet,let027:0.2.0.0.5
theo,let027,c c Nog al dun naar,Theo,t deed mij zoo aan Grootvaders,let027:0.2.0.0.28
theo,let027,spoedig schrijf London July My dear,Theo,I’m glad you’ve been reading Michelet,let027:0.2.0.1.3
theo,let027,c c Rather feeble and disagreeable,Theo,and it reminded me so much,let027:0.2.0.1.14
theo,let028,Londen Aug Waarde,Theo,Gij oordeelt naar het vleesch Ik,let028:0.2.0.0.5
theo,let028,vragen Vincent London Aug My dear,Theo,Ye judge after the flesh I,let028:0.2.0.1.3
theo,let029,Waarde,Theo,Je boekje heb ik volgeschreven ik,let029:0.2.0.0.2
theo,let029,mij eens spoedig Vincent My dear,Theo,I’ve filled your little book and,let029:0.2.0.1.1
dank,let001,Den Haag september Waarde Theo,Dank,voor je brief het deed mij,let001:0.2.0.0.7
dank,let005,Daar juist ontvang ik je brief,dank,er voor Ik ben zeer in,let005:0.2.0.0.45
dank,let010,waermede die herten Zoo eenvoudig hun,dank,uitstorten bij t zaemlen der laetste,let010:0.2.0.0.180
dank,let011,Londen Juli Waarde Theo,Dank,voor je brief die mij veel,let011:0.2.0.0.7
dank,let011,hopen zij nu reeds beter is,Dank,voor wat je mij van schilderijen,let011:0.2.0.0.21
dank,let011,waermede die herten Zoo eenvoudig hun,dank,uitstorten bij t zaemlen der laetste,let011:0.2.0.0.166
dank,let012,mij toen ik Caroliens brief ontving,Dank,er voor Van harte hoop ik,let012:0.2.0.0.7
dank,let013,zal het je ook goed gaan,Dank,voor wat je mij van de,let013:0.2.0.0.29
dank,let014,Oct Beste Carolien en Willem Hartelijk,dank,voor je brief van heden morgen,let014:0.2.0.0.7
dank,let017,Londen Januari Waarde Theo,Dank,voor je schrijven Van harte wensch,let017:0.2.0.0.7
dank,let019,Londen Februari Waarde Theo,Dank,voor je brief t Boek heb,let019:0.2.0.0.7
dank,let021,je voor een paar manchetteknoopen Hartelijk,dank,daarvoor kerel maar dat had je,let021:0.2.0.0.7
dank,let021,geld meer noo dig dan ik,Dank,voor je brief van dezen morgen,let021:0.2.0.0.9
dank,let023,Londen Juni Waarde Theo,Dank,voor je brief Ik denk Donderdag,let023:0.2.0.0.7
dank,let025,Helvoirt Juli Waarde Theo,Dank,voor de informaties die je genomen,let025:0.2.0.0.7
voor,let001,Den Haag september Waarde Theo Dank,voor,je brief het deed mij genoegen,let001:0.2.0.0.7
voor,let001a,er commissie op scheen te hebben,Voor,wien het was weet ik niet,let001a:0.2.0.0.12
voor,let001a,algemeen hooger prijzen besteed dan gewoonlijk,Voor,de opgegeven N os is ongeveer,let001a:0.2.0.0.17
voor,let002,Het zal een heele verander ing,voor,je zijn Het doet mij zooveel,let002:0.2.0.0.11
voor,let002,dat ik je nog zien zal,voor,je vertrek wij zullen dan nog,let002:0.2.0.0.16
voor,let003,vooral schrijven wat je al zoo,voor,schilderijen ziet wat je mooi vindt,let003:0.2.0.0.14
voor,let003,niet prachtig ik hoop nu geheel,voor,mij zel ven te kunnen zorgen,let003:0.2.0.0.16
voor,let003,mag worden Groet hem Tante hartelijk,voor,mij Is Oom Cent nog te,let003:0.2.0.0.29
voor,let003,goed zal gaan Zeg Schmidt Eduard,voor,mij goeden dag en laat spoedig,let003:0.2.0.0.33
voor,let004,worden maar Theo ik vrees er,voor,Van de zomer was hij nog,let004:0.2.0.0.9
voor,let004,naar Corot Ik bedank je echter,voor,de genomen moeite Ik wacht binnen,let004:0.2.0.0.14
voor,let004,van zooals je weet is het,voor,Pa’s verjaardag Ik feliciteer je daar,let004:0.2.0.0.19
voor,let005,spoedig Ik hoop zoo wij elkaar,voor,dien tijd nog eens zien zullen,let005:0.2.0.0.9
voor,let005,waar Iterson mede op reis gaat,Voor,hij terug is zal ik niet,let005:0.2.0.0.11
voor,let005,te L een heel ander leven,voor,mij zijn daar ik waarschijnlijk alleen,let005:0.2.0.0.13
voor,let005,een kamer zal moeten wonen dus,voor,veel zaken zal moeten zorgen waar,let005:0.2.0.0.13
voor,let005,te nemen Ik vind het heerlijk,voor,het Engelsch ik kan dat wel,let005:0.2.0.0.15
voor,let005,hij veel pijn Groet hen hartelijk,voor,mij ik denk zoo dikwijls aan,let005:0.2.0.0.20
voor,let005,je alzoo ziet Ik ben Zondag,voor,dagen naar Amsterdam geweest om eene,let005:0.2.0.0.24
voor,let005,zeer interessant ik ben nieuwsgierig wat,voor,figuur de Hollanders te Weenen maken,let005:0.2.0.0.24
voor,let005,eens Zeg Oom Tante Schmidt Eduard,voor,mij goeden dag Ik hoop maar,let005:0.2.0.0.34
voor,let005,ontvang ik je brief dank er,voor,Ik ben zeer in mijn schik,let005:0.2.0.0.45
voor,let006,Tante de H r Schmidt Eduard,voor,mij goeden dag Mijn brief heb,let006:0.2.0.0.27
voor,let007,het goed Groet Oom Tante hartelijk,voor,mij ook de H r Schmidt,let007:0.2.0.0.25
voor,let007,anders licht verwarring ontstaat met brieven,voor,Oom Cent die alleen V heet,let007:0.2.0.0.43
voor,let008,dat zal mij veel genoegen doen,Voor,ik het vergeet gisteren heb ik,let008:0.2.0.0.9
voor,let008,begrij pen hoe lief allen hier,voor,mij zijn dat het mij spijt,let008:0.2.0.0.13
voor,let008,Adieu kerel groet Oom Tante hartelijk,voor,mij tot ziens Vincent Informeer eens,let008:0.2.0.0.16
voor,let009,vooral eens wat je al zoo,voor,schilde rijen gezien hebt in den,let009:0.2.0.0.9
voor,let010,zoodat ik nog een mooien tijd,voor,mij zelven heb die ik zeer,let010:0.2.0.0.17
voor,let010,vergeet dat men in Londen is,Voor,ieder huis is een kleinen tuin,let010:0.2.0.0.21
voor,let010,niet kent Onze Elisabeth schreef het,voor,mij over den laatsten avond dat,let010:0.2.0.0.33
voor,let010,pleizier zult lezen heb het daarom,voor,je overgeschreven Het was zeer attent,let010:0.2.0.0.35
voor,let010,gegroet zeg allen in de Poten,voor,mij goeden dag heb het allen,let010:0.2.0.0.42
voor,let010,krachtige druipende hoofden Neer doet buigen,voor,hem die t zweet in de,let010:0.2.0.0.71
voor,let010,hem die t zweet in de,voor,laet gedijen Ook den kunstnaer die,let010:0.2.0.0.71
voor,let010,t frissche tafreel dat daeronder Zich,voor,zijne oogen ontrolde nog eens in,let010:0.2.0.0.91
voor,let010,in zijn ziele te printen Vlak,voor,hem lag t dorp met een,let010:0.2.0.0.94
voor,let011,Londen Juli Waarde Theo Dank,voor,je brief die mij veel genoegen,let011:0.2.0.0.7
voor,let011,zij nu reeds beter is Dank,voor,wat je mij van schilderijen geschreven,let011:0.2.0.0.21
voor,let011,zoo veel van Lies schreef het,voor,mij over den laatsten avond dat,let011:0.2.0.0.23
voor,let011,zeggen Die Rijs wijkschen weg heeft,voor,mij herrin neringen die misschien de,let011:0.2.0.0.23
voor,let011,spoedig het is zoo’n ver kwikking,voor,mij als ik een brief krijg,let011:0.2.0.0.25
voor,let011,gij er dikwijls Groet hen hartelijk,voor,mij De avondstond Langzaem galmde t,let011:0.2.0.0.31
voor,let011,krachtige druipende hoofden Neer doet buigen,voor,hem die t zweet in de,let011:0.2.0.0.55
voor,let011,hem die t zweet in de,voor,doet gedijen Ook den kunstnaer die,let011:0.2.0.0.55
voor,let011,t frissche tafreel dat daeronder Zich,voor,zijne oogen ontrolde nog eens in,let011:0.2.0.0.75
voor,let011,in zijn ziele te printen Vlak,voor,hem lag t dorp met een,let011:0.2.0.0.78
voor,let012,het was eene zeer aangename verrassing,voor,mij toen ik Caroliens brief ontving,let012:0.2.0.0.7
voor,let012,ik Caroliens brief ontving Dank er,voor,Van harte hoop ik zij nu,let012:0.2.0.0.7
voor,let012,stond er waar lijk versteld van,voor,perso nen dat is wel het,let012:0.2.0.0.9
voor,let012,gaat Dat is eene groote verandering,voor,hem ik hoop het hem goed,let012:0.2.0.0.26
voor,let012,Iterson die hier woont had dus,voor,t eerst sedert Mei gelegenheid Hollandsch,let012:0.2.0.0.28
voor,let013,schrijvende sluit ik nog een woordje,voor,je in Zeer nieuwsgierig ben ik,let013:0.2.0.0.7
voor,let013,nu ben waar men eene school,voor,little boys houdt Eenigen tijd geleden,let013:0.2.0.0.9
voor,let013,den Aartsengel Michael den Satan doodende,voor,à Dieu Kerel heb het goed,let013:0.2.0.0.18
voor,let013,aan het Meer Gadarena Dat stelde,voor,ongeveer zwarte varkens biggen die holder,let013:0.2.0.0.26
voor,let013,brief Dat zal eene heele verandering,voor,je zijn nu je naar s’Hage,let013:0.2.0.0.29
voor,let013,het je ook goed gaan Dank,voor,wat je mij van de schilderijen,let013:0.2.0.0.29
voor,let014,Beste Carolien en Willem Hartelijk dank,voor,je brief van heden morgen dat,let014:0.2.0.0.7
je,let001,Haag september Waarde Theo Dank voor,je,brief het deed mij genoegen dat,let001:0.2.0.0.7
je,let001,brief het deed mij genoegen dat,je,weer goed aangekomen zijt Ik heb,let001:0.2.0.0.7
je,let001,weer goed aangekomen zijt Ik heb,je,de eerste dagen ge mist het,let001:0.2.0.0.7
je,let001,ge mist het was mij vreemd,je,niet te vinden als ik s’mid,let001:0.2.0.0.7
je,let001,en ander gezien Wat vreesselijk weer,je,zult het wel benauwd hebben op,let001:0.2.0.0.11
je,let001,zult het wel benauwd hebben op,je,wandelingen naar Ois ter wijk Gisteren,let001:0.2.0.0.11
je,let001,het is dus maar goed dat,je,niet gebleven zijt om die te,let001:0.2.0.0.11
je,let001,van de familie Haanebeek Roos Steeds,je,liefh Vincent The Hague September My,let001:0.2.0.0.14
je,let002,las Van harte wensch ik er,je,geluk mede Ik twijfel niet of,let002:0.2.0.0.7
je,let002,geluk mede Ik twijfel niet of,je,zult er wel pleizier in krijgen,let002:0.2.0.0.9
je,let002,zal een heele verander ing voor,je,zijn Het doet mij zooveel genoegen,let002:0.2.0.0.11
je,let002,correspondeeren Ik hoop zoo dat ik,je,nog zien zal voor je vertrek,let002:0.2.0.0.16
je,let002,ik je nog zien zal voor,je,vertrek wij zullen dan nog veel,let002:0.2.0.0.16
je,let002,ordje in haast maar ik moest,je,toch eens zeggen dat het mij,let002:0.2.0.0.22.4
je,let002,Heb het goed geloof mij steeds,je,liefh broêr Vincent Ik beklaag je,let002:0.2.0.0.27
je,let002,je liefh broêr Vincent Ik beklaag,je,dat je iederen dag naar Oisterwijk,let002:0.2.0.0.32
je,let002,broêr Vincent Ik beklaag je dat,je,iederen dag naar Oisterwijk moet in,let002:0.2.0.0.32
je,let003,ven hoe het gaat hoe of,je,kosthuis bevalt Ik hoop dat dat,let003:0.2.0.0.9
je,let003,ook de laatste dagen waren waarop,je,t’huis waart Ge moet mij vooral,let003:0.2.0.0.14
je,let003,Ge moet mij vooral schrijven wat,je,al zoo voor schilderijen ziet wat,let003:0.2.0.0.14
je,let003,al zoo voor schilderijen ziet wat,je,mooi vindt Ik heb het druk,let003:0.2.0.0.14
je,let003,Ik ben toch zoo blij dat,je,ook in deze zaak zijt Het,let003:0.2.0.0.19
je,let003,dan in iets anders maar houd,je,maar taai je zult er wel,let003:0.2.0.0.21
je,let003,anders maar houd je maar taai,je,zult er wel komen Vraag eens,let003:0.2.0.0.21
je,let003,te Brussel voorhanden is Ik zal,je,den volgenden keer dat ik schrijf,let003:0.2.0.0.25
je,let003,dat ll Zondag laten maken Ben,je,al eens naar het Palais Ducal,let003:0.2.0.0.27
je,let003,geweest Doe dat vooral eens als,je,gelegenheid hebt Hoe gaat het met,let003:0.2.0.0.27
je,let003,Brussel stil geweest Nu kerel houd,je,goed alle bekenden hier laten je,let003:0.2.0.0.33
je,let003,je goed alle bekenden hier laten,je,groeten hopen dat het je goed,let003:0.2.0.0.33
je,let003,laten je groeten hopen dat het,je,goed zal gaan Zeg Schmidt Eduard,let003:0.2.0.0.33
je,let003,dag en laat spoedig iets van,je,hooren Adieu je liefh broer Vincent,let003:0.2.0.0.33
je,let003,spoedig iets van je hooren Adieu,je,liefh broer Vincent je weet mijn,let003:0.2.0.0.38
je,let003,hooren Adieu je liefh broer Vincent,je,weet mijn adres is Lange Beestenmarkt,let003:0.2.0.0.43
je,let004,Haag Jan Waarde Theo Goed dat,je,mij zoo spoedig geantwoord hebt ik,let004:0.2.0.0.7
je,let004,geantwoord hebt ik ben blij dat,je,het naar je zin hebt het,let004:0.2.0.0.7
je,let004,ben blij dat je het naar,je,zin hebt het goed hebt getroffen,let004:0.2.0.0.7
